name,size,location,best time to collect
Gyokusho,4cm4mm,alap2,
Hisha,4cm,alap2,
Kakugyo,4cm,alap2,
Kinsho,3cm8mm,alap2,
Ginsho,3cm8mm,alap2,
Keima,3cm6mm,alap2,
Kyousha,3cm4mm,alap2,
Fu,3cm1mm,alap2,
End of Group: Shogi Table,,,
Video Game,38cm7mm,pandas,
Arcade Machine,2m75cm5mm,afap5,
Puzzle Arcade Game,2m75cm5mm,afap5,
Crane Game,4m86cm2mm,alap4,
,,,
Pachinko Machine,1m1mm,racetrack afap,
Pachinko Parlor,23m19cm5mm,alap5,
Huge Bowling Pin,29m99cm6mm,alap5,
Bowling Alley,38m6cm2mm,alap5,
,,,
2i. Containers,,,
,,,
Round Water Canteen,26cm8mm,alap2,
Soy Sauce Pack,5cm6mm,alap1,
Water Canteen,42cm2mm,alap2,
Ring Box,32cm2mm,underwater,
Wallet,24cm6mm,alap2,
Kerosene Tank,79cm5mm,racetrack,
Kerosene Tank,79cm5mm,school,
Cat-free Bottle,34cm1mm,alap2,
,,,
Cookie Tin,30cm,alap2,
Sweets Container,37cm1mm,sumo small,
Fruit Basket,38cm8mm,alap2,
Gourd,35cm,underwater,
Insect Cage,47cm8mm,alap4,
Shoe Box,56cm2mm,alap4,
Classroom Post,36cm4mm,cranes,
Milk Box,63cm5mm,alap2,
,,,
Shopping Basket,79cm6mm,alap2,
Drink Crate,98cm3mm,alap2,
Cardboard Carton,2m65cm,alap3,
Cooler,96cm9mm,alap2,
Toy Chest,91cm,"panda, in the corner of the market by the boxes",
Blue Plastic Box,77cm5mm,alap2,
Green Plastic Box,77cm5mm,alap2,
Toolbox,96cm4mm,racetrack,
,,,
Vase,88cm3mm,underwater,
Barrel,1m60cm8mm,friends,
Red Oil Drum,1m90cm6mm,campfire small,
Green Oil Drum,1m90cm6mm,racetrack,
Blue Oil Drum,1m90cm6mm,racetrack,
Ball Toss Basket,2m63cm5mm,alap4,
Storage Shed,2m93cm9mm,alap4,
Locker,1m80cm,school,
,,,
Coin Locker,3m28cm1mm,alap3,
Netting Cage,46m87cm3mm,alap5,
,,,
2j. Decorations,,,
,,,
Novelty Plate,32cm4mm,school,
Picture Frame,24cm8mm,alap1,
Parsley,8cm,alap2,
Vase,44cm3mm,school,
Calendar,23cm8mm,pandas,
Origami Chain,43cm3mm,cranes,
Stand,44cm9mm,sumo small,
Garden Rock,81cm4mm,friends,
,,,
Paper Tiger,27cm2mm,alap1,
Bear Carving,84cm,alap3,
Raccoon,1m80cm2mm,alap3,
Food Sample,1m76cm5mm,sumo medium,
Russian Doll (S),1m29cm1mm,racetrack,
Russian Doll (M),1m64cm4mm,racetrack,
Russian Doll (L),1m99cm6mm,racetrack,
Russian Doll (XL),2m34cm8mm,racetrack,
,,,
Display Stand,2m74cm2mm,pandas,
Shoe Display Stand,3m15cm,sumo small,
Group: Xmas Tree (12 Objects),,,
Xmas Tree,2m3cm7mm,alap3,
Boot,17cm7mm,"cleaning, unmissable","cleaning, unmissable"
House,16cm2mm,"cleaning, unmissable","cleaning, unmissable"
Santa,17cm6mm,"cleaning, unmissable","cleaning, unmissable"
Star,17cm9mm,alap3,
Blue Ornament,10cm9mm,"cleaning, unmissable","cleaning, unmissable"
Red Ornament,10cm9mm,"cleaning, unmissable","cleaning, unmissable"
Yellow Ornament,10cm9mm,"cleaning, unmissable","cleaning, unmissable"
Snowflake,4cm2mm,"cleaning, unmissable","cleaning, unmissable"
Giant Santa Boot,2m4cm5mm,snow,
Giant Santa House,1m79cm1mm,snow,
Giant Santa,1m84cm7mm,snow,
End of Group: Xmas Tree,,,
Xmas Tree,25m73cm1mm,alap5,
,,,
3a. Necessities,,,
,,,
Open Tissue Box,34cm5mm,"school, pandas",
Tissue Box,33cm1mm,"campfire medium, pandas",
Tissues (5 pack),57cm,alap3,
Toilet Paper Roll,25cm6mm,school,
Toilet Paper,36cm5mm,school,
Toilet Paper,47cm2mm,"alap2, school",
Slipper,38cm5mm,alap3,
Air Freshener,20cm9mm,alap3,
,,,
Button,2cm5mm,alap1,
Match,1cm6mm,alap1,
Japanese Matchbox,6cm9mm,alap1,
Match Box,9cm1mm,alap1,
Lighter,7cm2mm,alap1,
Ashtray,26cm2mm,alap2,
Hanko,5cm1mm,alap1,
Inkpad,5cmm4mm,alap1,
,,,
Film,9cm5mm,"alap1, alap3",alap3
Nail Clipper,12cm5mm,"alap1, cleaning","cleaning, unmissable"
Hook,13cm5mm,"just right small, by the bin near the sliding door",
Key,6cm2mm,alap1,
Bicycle Lock,5cm1mm,alap1,
Lock,5cm8mm,alap1,
Combination Lock,7cm6mm,alap1,
Eye Drops,7cm3mm,alap1,
,,,
Bug Spray,20cm9mm,alap1,
Toothbrush,7cm6mm,alap1,
Toothpaste,14cm2mm,alap1,
Videotape,20cm3mm,alap1,
Mosquito Repellent,33cm6mm,alap2,
Shampoo,30cm6mm,pandas,
Pillow,72cm7mm,school afap,
Cushion,79cm4mm,pandas,
,,,
Picnic Mat,1m30cm8mm,alap3,
Straw Mat,1m60cm3m,alap3,
Hammock,2m37cm2mm,campfire large,
,,,
3b. Rain,,,
,,,
Polka Dot Umbrella,1m35cm3mm,racetrack,
Kid's Umbrella,1m8cm2mm,school afap,
Umbrella,1m35cm3mm,racetrack,
Red Umbrella,3m61cm2mm,snow,
Snail,9cm8mm,alap1,
Tree Frog,7cm4mm,alap1,
Toad,30cm1mm,alap2,
Teruterubozu,32cm,underwater,
,,,
Kid's Boot,40cm7mm,underwater,
Rubber Boot,58cm6mm,underwater,
Rain Front,279m75cm2mm,clouds,
Rain,521m71cm,alap5,
,,,
3c. Electronics,,,
,,,
Android,1m68cm4mm,friends afap,
Calculator,14cm,alap2,
Wristwatch,10cm6mm,alap1,
Alarm Clock,31cm6mm,alap3,
Classroom Clock,45cm4mm,"just right medium, classroom wall",
Cuckoo Clock,63cm7mm,alap3,
Pendulum Clock,78cm2mm,friends afap,
Pool Clock,2m2cm5mm,alap3,
,,,
Iron,43cm8mm,alap3,
Ventilation Fan,50cm8mm,"snow, on the back of the thing with two grandmas on it",
Electric Fan,1m3cm5mm,underwater,
Cash Register,64cm7mm,alap4,
Personal Computer,1m1cm3mm,alap3,
PC Monitor,1m23cm8mm,alap3,
Video Cassete Player,82cm2mm,pandas,
AC Condenser,1m39cm7mm,alap3,
,,,
Copy Machine,2m28cm3mm,school,
Toy Dispenser,1m9cm4mm,alap3,
Vending Machine,2m72cm1mm,alap3,
Red Vending Machine,2m72cm1mm,alap3,
Blue Vending Machine,2m72cm1mm,alap3,
Moo-Cow Vending Machine,2m72cm1mm,friends,
Crane Scaffold,17m55cm,alap5,
Crane Scaffold,34m80cm9mm,"alap5, by the desert",
,,,
Binoculars,1m85cm2mm,friends,
Photo Booth,3m45cm9mm,alap3,
Planetarium Projector,6m8cm7mm,alap4,
Satellite,18m66cm2mm,alap5,
TV Camera,2m77cm5mm,friends,
Radio Tower,18m24cm7mm,racetrack,
Antenna,1m14cm7mm,alap3,
Satellite Dish,99m25cm7mm,alap5,
,,,
Stadium Screen,52m54cm5mm,alap5,
Ferris Wheel Base,53m31cm5mm,alap5,
Ladder,9m22cm5mm,alap5,
Ferris Wheel,53m31cm5mm,alap5,
Super Robot,555m55cm5mm,afap5,
,,,
3d. Furniture,,,
,,,
Color TV,1m7mm,alap3,
Mini TV,96cm4mm,alap3,
TV,1m31cm3mm,underwater,
TV Stand,1m20cm8mm,pandas,
Bookstand,42cm1mm,just right medium,
Bookshelf,2m56cm3mm,school,
Stereo Shelf,1m70cm5mm,underwater,
Shelves,1m90cm,school,
,,,
School Shelves,1m95cm,school,
Locker Shelf,2m30cm,school,
Bonsai Display,2m87cm,sumo small,
Drawer,59cm1mm,pandas,
Cabinet,1m20cm,racetrack,
Drawers,1m72cm,school afap,
Apple Carton,79cm9mm,alap2,
Shoe Cupboard,1m91cm8mm,racetrack,
,,,
Ironing Board,1m1cm1mm,alap3,
Telephone Stand,1m11cm1mm,school afap,
Drainboard,1m72cm2mm,school afap,
Bookshelf,2m20cm,school,
Bed,2m71cm7mm,pandas,
Study Desk,2m32cm6mm,alap3,
Compact Table,96cm3mm,pandas,
Table,1m65cm2mm,pandas,
,,,
Wooden Table,2m60cm,sweets house,
Wooden Table,3m76cm4mm,alap4,
,,,
3e. Post,,,
,,,
Mailbox,1m44cm4mm,alap3,
Stamp,2cm,alap2,
New Year's Card,9cm4mm,alap2,
Postcard,9cm4mm,alap2,
Envelope,10cm1mm,alap2,
New Year's Cards,29cm4mm,alap2,
Home Mailbox,66cm5mm,alap2,
Stamp,2cm,alap1,
,,,
Newspaper,21cm5mm,alap2,
Advertisement,69cm3mm,"school, held by the guy in one of the bathroom stalls",
Leaflet,28cm8mm,"alap2, cranes",
Food Delivery Box,80cm4mm,alap3,
Food Delivery Bike,2m82cm2mm,racetrack,
Pizza Delivery Bike,3cm36cm4mm,racetrack,
Freight Car,20m6cm2mm,alap5,
Coal Car,13m32cm,alap5,
,,,
Cargo Ship,131m43cm5mm,alap5,
,,,
3f. Luggage,,,
,,,
Briefcase,55cm8mm,pandas,
Kindergarten Bag,43cm,alap2,
Bundle,42cm8mm,alap3,
Portfolio,59cm7mm,alap3,
Travel Bag,79cm2mm,alap3,
Store Paper Bag,58cm1mm,alap2,
Paper Bag,75cm2mm,friends,
Backpack,1m1cm,alap3,
,,,
Wooden Crate,97cm8mm,alap2,
Picnic Basket,1m47cm4mm,friends,
Opening Cardboard Box,96cm3mm,school,
Vegetable Carton,1m80cm,alap3,
Fruit Carton,1m80cm,racetrack,
Closed Box,1m80cm,school,
Empty Box,2m17cm1mm,school,
Cargo Container,11m30cm2mm,alap5,
,,,
Cargo Container,8m15cm4mm,racetrack,
Cargo Container,8m15cm4mm,racetrack,
,,,
3g. Gardening,,,
,,,
Garden Pot,52cm1mm,alap2,
Morning Glory,71cm8mm,alap2,
Flowerpots,94cm2mm,alap2,
House Plant,1m36cm4mm,alap3,
Squared Shrubbery,2m24cm3mm,alap3,
Coffee Bean,2cm2mm,alap1,
Sunflower Seed,3cm2mm,alap1,
Almond,3cm8mm,alap2,
,,,
Strawberry Plant,63cm6mm,alap2,
Cherry Tree,68cm6mm,alap2,
Cucumber Plant,85cm3mm,sumo medium,
Eggplant,85cm3mm,friends afap,
Topiary Duck,1m6cm2mm,flowers,
Topiary Turtle,1m36cm5mm,flowers,
Topiary Rabbit,1m41cm7mm,flowers,
Topiary Deer,1m90cm7mm,flowers,
,,,
Brick,40cm9mm,alap2,
Planting Fence,44cm6mm,alap2,
Sprayer,21cm6mm,alap2,
Ladle,36cm7mm,alap2,
Elephant Watering Can,31cm1mm,alap2,
Watering Pot,65cm7mm,underwater,
Dried Kelp,5m15cm7mm,alap5,
,,,
3h. Flowers,,,
,,,
Cosmea,30cm,flowers,
Orange Cosmea,30cm,flowers,
Cosmea,30cm,flowers,
Dandelion,21cm6mm,alap2,
Dandelions,30cm,flowers,
Red Morning Glory,25cm1mm,alap2,
Blue Morning Glory,25cm1mm,alap2,
Marguerite,30cm,flowers,
,,,
Pansy (Yellow),30cm,flowers,
Pansy (White),30cm,flowers,
Pansy (Red),30cm,flowers,
Pansy (Blue),30cm,flowers,
Pansies,65cm2mm,"alap2, friends",
Hibiscus,40cm,flowers,
Hibiscus (Yellow),40cm,flowers,
Huge Hibiscus,1m,flowers,
,,,
Red Tulip,30cm,flowers,
White Tulip,30cm,flowers,
Yellow Tulip,30cm,flowers,
Pink Tulip,30cm,flowers,
Red Tulip,38cm9mm,alap2,
White Tulip,38cm9mm,alap2,
Yellow Tulip,38cm9mm,alap2,
Pink Tulip,38cm9mm,alap2,
,,,
Chrysanthemum,30cm,flowers,
Chukka,30cm,flowers,
Chrysanthemum Party,30cm,flowers,
Chrysanthemums,30cm,flowers,
Azalea (Pink),40cm,flowers,
Azalea (Purple),40cm,flowers,
Iris (Blue),50cm,flowers,
Iris (Red),50cm,flowers,
,,,
Narcissus,40cm,flowers,
Lily Bell,30cm,flowers,
Big Lily Bell,50cm,flowers,
Red Hydrangea,57cm,flowers,
Hydrangea,57cm,flowers,
Hydrangea,1m35cm8mm,alap3,
Lotus,80cm2mm,"flowers, underwater",
Cactus Flower,1m10cm4mm,flowers,
,,,
Peony (Red),40cm,flowers,
Peony (Pink),40cm,flowers,
Peony (White),40cm,flowers,
Kale (Purple),75cm,flowers,
Kale,75cm,flowers,
Surprise Peony,1m,flowers,
Sunflower,75cm,flowers,
Sunflower,1m20cm,alap3,
,,,
Red Rose,30cm,flowers,
Rose,32cm1mm,"alap2, rose level",rose level
White Rose,30cm,flowers,
Yellow Rose,30cm,flowers,
Bunch of Roses,78cm1mm,"friends, rose level",rose level
Surprise Flower,1m15cm8mm,flowers,
Happy Flower,1m20cm6mm,flowers,
Rafflesia,1m49cm5mm,flowers,
,,,
Red Flower Pot,39cm6mm,alap2,
Blue Flower Pot,46cm5mm,alap2,
Brown Flower Basket,49cm1mm,alap2,
White Flower Basket,49cm3mm,alap3,
Flower Pot,1m15cm6mm,alap3,
Flower Bed,3m38cm1mm,alap3,
,,,
3i. Communication,,,
,,,
Bullhorn,38cm3mm,alap2,
Megaphone,46cm2mm,alap3,
Walkie-Talkie,19cm9mm,alap2,
Telephone,52cm8mm,school,
Pay Phone,1m45cm,alap3,
Phone Booth,3m33cm,racetrack,
Girly Cellphone,11cm6mm,"campfire small, in the middle of the walkie talkies",
Cell Phone,10cm3mm,alap2,
,,,
Microphone,25cm4mm,alap2,
Microphone Stand,1m70cm1mm,friends,
Speakers,4m76cm3mm,campfire large,
Speaker,5m46cm6mm,alap3,
,,,
3j. Tools,,,
,,,
Pink Paintbrush,13cm,alap2,
Paintbrush,13cm,alap2,
Blue Paint,29cm,alap2,
Red Paint,29cm,alap2,
Screw,2cm5mm,alap1,
Phillips-head Screw,3cm2mm,alap1,
Superglue,8cm7mm,alap1,
Group: Toolbox (6 Objects),,,
Toolbox,56cm7mm,alap2,
Wooden Gavel,25cm2mm,alap2,
Hammer,25cm2mm,alap2,
Wrench,16cm9mm,alap2,
Philips Head,14cm4mm,"campfire large, near the rv (get them while small)",
Screwdriver,14cm4mm,"campfire large, near the rv (get them while small)",
End of Group: Toolbox,,,
,,,
Log,1m32cm4mm,underwater,
Stepladder,1m23cm1mm,school,
Ladder,1m96cm4mm,snow,
Timber,2m20cm2mm,alap3,
Steel Frame,5m80cm,alap4,
,,,
4a. Summer,,,
,,,
Red & White Pool Ring,89cm,underwater,
Pool Ring,89cm,underwater,
Beachball,66cm4mm,cranes,
Watermelon Slice,17cm2mm,alap2,
Half Watermelon,48cm7mm,alap2,
Watermelon,74cm9mm,racetrack,
Big Watermelon,2m15cm2mm,alap3,
Giant Watermelon,4m76cm2mm,alap4,
,,,
Zapper Refill,3cm,alap2,
Mosquito Zapper,16cm8mm,alap2,
Fireworks,9cm3mm,alap2,
Fireworks,21cm1mm,alap2,
Mosquito Coil,26cm9mm,alap1,
Fireworks,68cm2mm,alap2,
Bikini Girl,1m37cm7mm,racetrack,
Swimsuit Girl,1m40cm1mm,"alap4, beach",
,,,
Snorkel & Goggles,36cm2mm,underwater,
Sandpile,2m4cm7mm,alap4,
Green White Beach Umbrella,5m61cm,racetrack,
Blue White Beach Umbrella,5m61cm,racetrack,
Colorful Beach Umbrella,5m61cm,snow,
Red Yellow Beach Umbrella,5m61cm,cowbear (i think all the umbrellas are there),
Pastel Beach Umbrella,5m61cm,racetrack,
Cow Umbrella,5m61cm,cowbear,
,,,
Poolside Chair and Roof,5m47cm6mm,alap4,
Wooden Seaside House,13m13cm5mm,alap4,
Seaside House,14m30cm7mm,alap4,
,,,
4b. Police,,,
,,,
Handcuffs,30cm,alap3,
Police ID,20cm1mm,alap3,
Police Club,24cm4mm,pandas,
Accident Notice,61cm3mm,"alap3, on the police station",
Policewoman,1m60cm7mm,sumo medium,
Policeman,1m82cm8mm,sumo medium,
Police Bike,2m2mm,alap3,
Traffic Dummy,2m21cm4mm,racetrack,
,,,
Police Car,5m53cm1mm,alap3,
Police Box,10m59cm1mm,alap4,
,,,
4c. Science,,,
,,,
Magnet,8cm3mm,alap1,
Compass,7cm1mm,"alap1, cleaning","cleaning, unmissable"
Binoculars,31cm9mm,"campfire small, friends",
Microscope,43cm7mm,school,
Test Tube Set,44cm9mm,alap3,
Butterfly Specimens,54cm3mm,school,
Globe,1m8cm,school,
Telescope,2m19cm4mm,school,
,,,
Homunculus,1m39cm,school,
Ammonite,2m98cm7mm,campfire large,
Fossil,5m83cm8mm,alap5,
,,,
4d. Rich,,,
,,,
Crown,69cm3mm,underwater,
5 Yen Coin,2cm9mm,alap1,
10 Yen Coin,3cm5mm,alap1,
500 Yen Coin,4cm,alap1,
Diamond,7cm3mm,"alap2, alap3, on the table",
Onyx,7cm3mm,"alap2, alap3, on the table",
Ruby,7cm3mm,"alap2, alap3, on the table",
Emerald,7cm3mm,"alap3, on the table",
,,,
Old Coin,5cm2mm,alap2,
Check Book,10cm4mm,alap1,
Piggybank,39cm9mm,underwater,
Deer Head,1m5cm7mm,school,
Shachihoko,1m23cm7mm,underwater,
Tiger Skin,2m72cm2mm,school,
Safe,1m50cm,pandas,
School Safe,2m80cm8mm,school,
,,,
Big Coin,21cm8mm,alap2,
,,,
4e. Lighting,,,
,,,
Light Bulb,20cm8mm,alap2,
Lantern,61cm7mm,campfire small,
Stadium Lights,47m97cm1mm,alap5,
Japanese Lantern,44cm3mm,sumo small,
Neon Hotel Sign,20m45cm,"just right large, on top of a building in the new york area",
Ceiling Light,1m22cm6mm,alap3,
Desk Lamp,63cm8mm,alap3,
Gate Lamp,52cm3mm,alap3,
,,,
Green Candle,3cm7mm,"alap1, alap3 with orange candle",
Orange Candle,3cm7mm,"alap3, next to the microwave",
Firefly,35cm,"fireflies, unmissable","fireflies, unmissable"
Headlamp,49cm3mm,alap3,
Mini Flashlight,22cm9mm,alap1,
Flashlight,52cm1mm,campfire small,
Spotlight,68cm3mm,friends,
Spotlight,2m58cm8mm,friends,
,,,
Fluorescent Bulb,3m,school,
Fluorescent Bulb,3m,school,
Lamp Post,2m8cm9mm,alap3,
Lamp Post,3m3cm7mm,sumo medium,
Park Lamp Post,3m15cm6mm,alap4,
Zoo Street Lamp,3m19cm4mm,friends,
Lighthouse,18m18cm1mm,racetrack,
Tall Lighthouse,36m54cm3mm,alap5,
,,,
4f. Hot,,,
,,,
Camp Fire,1m28cm9mm,snow,
Glove,80cm3mm,snow,
Kerosene Stove,1m47cm7mm,school,
Oil Heater,1m9cm5mm,pandas,
Potbellied Stove,1m54cm2mm,school afap,
Smokestack,14m69cm3mm,alap5,
Boiler Room,8m12cm6mm,alap5,
Bathhouse,27m85cm1mm,alap5,
,,,
Kotatsu,2m44cm9mm,"friends afap, snow",
,,,
4g. Cold,,,
,,,
Snowman,1m45cm8mm,friends afap,
Twin Pop,21cm8mm,alap2,
Ice Cream,25cm7mm,alap2,
Frozen Yogurt,26cm6mm,alap2,
Vanilla Cone,1m32cm6mm,alap3,
Mixed Cone,1m32cm6mm,alap3,
Strawberry Cone,1m32cm6mm,alap3,
Ice Cream Freezer,2m45cm5mm,alap3,
,,,
Snow Block,1m45cm1mm,snow,
Ice Cube Tray,32cm,sumo medium,
Fridge,2m2cm1mm,alap3,
Deluxe Fridge,2m23cm5mm,alap3,
Snow Rabbit,37cm8mm,snow,
Snow Child,1m33cm3mm,snow,
Bigfoot,2m62cm5mm,snow,
Ghost,1m58cm1mm,school afap,
,,,
Small Iceberg,146m50cm3mm,alap5,
Pointy Iceberg,294m95cm2mm,alap5,
Iceberg,333m6cm8mm,alap5,
Big Iceberg,1314m49cm7mm,alap5,
Ice Floe,490m33cm,alap5,
Giant Ice Floe,2005m7cm7mm,alap5,
,,,
4h. Seating,,,
,,,
School Chair,1m27cm7mm,school,
Cushioned Chair,1m3cm1mm,just right medium,
Legless Chair,1m18cm,"racetrack, a girl is riding it in the water (need to be at least like 3.5m)",
Office Chair,1m22cm5mm,alap3,
Folding Chair,1m48cm6mm,school afap,
Study Chair,1m42cm,cowbear,
Café Chair,1m55cm,alap3,
Expensive Chair,1m96cm3mm,school,
,,,
Tree Stump,65cm6mm,sweets house,
Seat Cushion,69cm3mm,sumo small,
Long Seat,2m71cm1mm,friends afap,
Wooden Bench,1m84cm,"pandas, under a tent in the center of town by the bell",
Dock Pile,1m64cm5mm,friends afap,
Single Sofa,1m53cm5mm,racetrack,
Sofa,2m14cm7mm,pandas,
Luxury Sofa,2m85cm3mm,school,
,,,
Plastic Bench,1m79cm1mm,alap3,
Wooden Bench,1m92cm1mm,underwater,
Big Bench,2m90cm5mm,friends,
Wooden Bench,3m62cm,friends,
Quiz Show Seat,1m87cm5mm,cowbear,
Lifeguard's Chair,3m3mm,racetrack,
Chair Lift,3m82cm2mm,snow,
,,,
4i. Weapons,,,
,,,
Shuriken,12cm2mm,alap2,
Arrow,9cm8mm,alap3,
Water Pistol,19cm1mm,alap2,
Funny Hammer,52cm8mm,alap2,
Bamboo Sword,42cm,"campfire small, pandas",
Sword,59cm,pandas,
Katana,59cm,school,
Scimitar,73cm,underwater,
,,,
Cannon,3m31cm3mm,racetrack,
Tank,9m76cm2mm,afap5,
Driller,13m74cm3mm,just right large,
,,,
4j. Danger,,,
,,,
Hard Hat,48cm7mm,alap2,
Fire Hazard Sign,39cm1mm,alap2,
Fire Extinguisher,52cm9mm,alap3,
Siren,1m85cm4mm,school,
Fire,8m,friends,
Poisonous Frog,8cm4mm,alap2,
Poisonous Frog,14cm9mm,alap2,
Blowfish,51cm5mm,underwater,
,,,
Rolling Skier,2m10cm4mm,snow,
Warning Sign,78cm6mm,school afap,
RF Radiation Sign,1m41cm8mm,cowbear,
"""No Swimming"" Sign",1m47cm7mm,alap3,
"""No Trespassing""",2m46cm,campfire small,
Barrier,4m14cm8mm,racetrack,
Falling Rock,4m41cm4mm,friends,
Huge Falling Rock,9m94cm2mm,alap5,
,,,
Mini Cone,20cm,alap2,
Small Cone,50cm,alap3,
Cow Pylon,1m50cm,cowbear,
Big Cone,3m,alap4,
Surprise Cone,12m,alap5,
American Cone,60m,alap5,
,,,
5a. Measuring,,,
,,,
Protractor,8cm3mm,"cleaning, random, cranes",
Big Protractor,53cm5mm,school,
Triangle Ruler,9cm5mm,"cleaning, random",
Big Triangle Ruler,53cm9mm,"alap3, school",
Ruler,28cm1mm,alap2,
Thermometer,4cm9mm,alap2,
Number Counter,12cm,alap1,
Survey Marker,42cm4mm,alap2,
,,,
Dynamometer,24cm8mm,alap2,
Height Measure,1m34cm5mm,school afap,
Scale,1m48cm6mm,school afap,
Healthmeter,42cm2mm,just right medium,
Gas Meter,82cm1mm,alap3,
Weather Station,3m62cm6mm,alap3,
,,,
5b. Art,,,
,,,
Boy's Graffiti,40cm3mm,alap2,
Girl's Graffiti,41cm5mm,alap2,
Watercolor,44cm2mm,underwater,
Gourd Picture,56cm7mm,pandas,
Hanging Scroll,60cm8mm,"campfire large, pandas",
Group: Paint Set (6 Objects),,,
Paint Set,20cm3mm,alap1,
Blue Paint,6cm5mm,"alap1, cleaning","cleaning, unmissable"
Green Paint,6cm5mm,"alap1, cleaning","cleaning, unmissable"
Black Paint,6cm5mm,"alap1, cleaning","cleaning, unmissable"
Red Paint,6cm5mm,"alap1, cleaning","cleaning, unmissable"
Yellow Paint,6cm5mm,"alap1, cleaning","cleaning, unmissable"
End of Group: Paint Set,,,
Paint Bucket,35cm3mm,underwater,
Palette,38cm8mm,underwater,
,,,
Spirit of Joy,3m56cm3mm,friends afap,
Spirit of Anger,3m56cm3mm,friends afap,
Spirit of Sorrow,3m14cm3mm,friends afap,
Spirit of Fun,3m56cm3mm,friends afap,
Stardust Chopper,2m78cm4mm,racetrack,
Thunder Chopper,2m89cm7mm,racetrack,
Chopper Lemon Kiss,2m87cm3mm,racetrack,
Gangster Car,5m47cm8mm,alap4,
,,,
Bonsai,93cm5mm,alap2,
Sand Castle,91cm1mm,underwater,
Easel,1m58cm4mm,alap3,
Mystery Key,78m,alap5,
Mystery UFO,98m,alap5,
Mystery Sun,104m,alap5,
Mystery Sun Island,558m11cm5mm,alap5,
Mystery UFO Island,558m11cm5mm,alap5,
,,,
Mystery Key Island,558m11cm5mm,alap5,
,,,
5c. Control,,,
,,,
RC Controller,30cm1mm,school,
Remote Control,18cm4mm,alap1,
Clapper Board,26cm1mm,alap3,
PC Keyboard,50cm6mm,alap3,
Ship's Wheel,61cm3mm,underwater,
Parking Turntable,8m64cm9mm,alap5,
Anchor,11m31cm,just right large,
Control Tower,75m7mm,alap5,
,,,
Control Tower,94m85cm7mm,alap5,
,,,
5d. Japan,,,
,,,
Lion Dance,2m92cm3mm,50 objects,
Kokeshi Doll,24cm8mm,"underwater, alap3",
Big Kokeshi,49cm6mm,alap3,
Geta,37cm9mm,alap3,
Noh Mask,24cm6mm,"cranes, middle classroom",
Mortar,93cm6mm,alap5,
Pestle,85cm2mm,alap5,
Garden Lantern,1m26cm6mm,sumo small,
,,,
Stilts,1m61cm4mm,50 objects,
Ninja,1m68cm3mm,sumo small,
Water Ninja,1m74cm3mm,50 objects,
Shogun,1m93cm2mm,racetrack,
Tatami Mat,1m88cm5mm,friends afap,
Deer Scare,2m6cm7mm,sumo small,
Pine Decoration,2m2cm2mm,school,
Kimono,2m48cm3mm,sumo small,
,,,
Samurai Armor,1m59cm3mm,alap3,
Group: Carp Streamer (5 Objects),,,
Carp Streamer,4m49cm7mm,alap4,
Magoi,3m62cm6mm,alap4,
Higoi,3m31cm,alap4,
Kogoi,2m85cm3mm,alap4,
Fukinagashi,4m18cm6mm,alap4,
End of Group: Carp Streamer,,,
Shrine Dog,2m40cm1mm,sumo large,
Shrine Gate,8cm4mm,alap4,
Shrine,32m52cm6mm,alap5,
,,,
5e. Festival,,,
,,,
Mikoshi,4m83cm4mm,cowbear,
Festival Lantern,54cm2mm,cranes,
Festival Lantern,54cm2mm,cranes,
Lottery,68cm1mm,pandas,
Goldfish in a Bag,37cm1mm,underwater,
Fox Mask,39cm2mm,"cranes, middle classroom",
Hyottoko Mask,27cm7mm,alap3,
Taiko Drum,2m40cm5mm,school afap,
,,,
Matsuri Girl,1m52cm,pandas,
Matsuri Boy,1m55cm5mm,sumo medium,
Matsuri Lover,1m53cm2mm,sumo small,
Paper Fan Man,2m66cm6mm,cowbear,
Strongman,1m75cm5mm,pandas,
Dairi Doll,57cm7mm,campfire small,
Hina Doll,57cm7mm,campfire small,
3 Ladies-in-waiting,55cm5mm,sumo small,
,,,
Right Councilor,56cm6mm,sumo small,
Left Councilor,56cm6mm,sumo large,
Matsuri Table,2m70cm2mm,sumo small,
Matsuri Tent,8m29cm2mm,alap4,
Matsuri Stage,8m94cm9mm,alap5,
Camp Fire,1m50cm,campfire small,
Big Camp Fire,3m,campfire medium,
Huge Camp Fire,6m,campfire large,
,,,
Festival,65cm1mm,cranes,
Fireworks Hydrangea,11m15cm9mm,racetrack,
Fireworks,14m65cm6mm,racetrack,
,,,
5f. Celebration,,,
,,,
Champion's Trophy,71cm7mm,alap3,
Trophy,60cm9mm,alap3,
Framed Certificate,47cm3mm,school,
Champion's Belt,85cm2mm,pandas,
Gold Medal,9cm7mm,alap3,
Silver Medal,9cm7mm,alap3,
Bronze Medal,9cm7mm,"alap2, alap3",
Daruma,86cm,alap3,
,,,
Lucky Cat,68cm8mm,alap3,
Blue Party Cracker,13cm6mm,alap2,
Pink Party Cracker,13cm6mm,alap2,
Birthday Cake,79cm7mm,sumo medium,
Wedding Cake,3m61cm7mm,alap4,
Tulip Bouquet,94cm8mm,racetrack,
Flower Bouquet,87cm4mm,alap5,
Grand Opening,3m15cm3mm,alap3,
,,,
Winner's Podium,2m24cm7mm,racetrack,
Podium,10m57cm2mm,racetrack,
